Fruits	Apple Granny Smith	500g	Imperfect picks from AU	2nd snack	Harris Farm	3.50
Fruits	Apple Pink Lady	12kg box	Imperfect picks from AU	2nd snack	Harris Farm	3.50
Fruits	Avocado 	each	Imperfect picks from AU	guacamole, shake	Harris Farm	1.99
Fruits	Banana Cavendish	500g	Imperfect picks from AU	banana shake	Flamington market (fresh in fresh out)	2.40
Fruits	Blueberries	1 punnet [125g]	FM	yoghurt&berries	Flamington market (fresh in fresh out)	3.40
Fruits	Grapes Green/Red Seedless 	kg	FM	2nd snack	Flamington market (fresh in fresh out)	8.99
Fruits	Kiwifruit	each	New Zeland	iceblocks	Harris Farm	0.49
Fruits	Lemon Fresh Organic	500g	Imperfect picks from AU	hummus	Harris Farm	2
Fruits	Mangoes	tray	Tray sale	chia pudding, ricotta	Harris Farm	19.90
Fruits	Nectarines	500g	Imperfect picks from AU	ice blocks	Harris Farm	4.5
Fruits	Oranges Valencia	each	Imperfect picks from AU	2nd snack	Harris Farm	3.75
Fruits	Peaches	500g	Imperfect picks from AU	2nd snack	Harris Farm	1.50
Fruits	Pear Packham/Corella	500g	Imperfect picks from AU	yoghurt&berries	Harris Farm	1.25
Fruits	Rasberries	1 punnet [125g]		yoghurt&berries	Harris Farm	3.99
Fruits	Rockmelon Fresh	each		2nd snack	Harris Farm	2.90
Fruits	Strawberries	2 punnet [250g]		2nd snack	Flamington market (fresh in fresh out)	2.75
Fruits	Watermelon Red	kg		2nd snack	Flamington market (fresh in fresh out)	1.75
Vegetable	Basil Green	6 bunches		pasta pesto	Harris Farm	14.50
Vegetable	Beetroot Head only	each		Beetroot buckwheat cake/Beetroot dip	Harris Farm	1.00
Vegetable	Capsicum red/green/yellow	kg		vegiie sticks	Flamington market (fresh in fresh out)	2.99
Vegetable	Carrot Prepacked	kg		vegiie sticks	Flamington market (fresh in fresh out)	1.75
Vegetable	Celery Fresh	kg		vegiie sticks	Flamington market (fresh in fresh out)	2.29
Vegetable	Cucumber Continental/Lebanese	kg	NSW	vegiie sticks	Flamington market (fresh in fresh out)	2.50
Vegetable	Lettuce Iceberg	kg		tacos	Harris Farm	1.90
Vegetable	Tomatoes small cherry	punnet		quacamole/pizza/	Harris Farm	2.50
Bread/bakery	Burgen Bread Traditional Rye	700 g	Burgen	bread sticks with dip	Woolworths	4.90
Bread/bakery	Greek pita bread	10 pcs	Golden Top	Toust quiche	Harris Farm	3.99
Bread/bakery	Helga's Bread Light Rye	680 g	Helgas	breakfast	Woolworths	3.50
Bread/bakery	Pizza Bases Wholemeal	2pck	Bazaar	Pizza	Woolworths	5.99
Bread/bakery	Rye Mountain Bread	200 g	Mountain Bread	Chicken wrap	Woolworths	3.99
Bread/bakery	Taco Shells 	210g	Homebrand	tacos	Woolworths	2.90
Dairy	Coconut Milk	400 ml	Homebrand	chia pudding	Woolworths	0.95
Dairy	Cottage Cheese	50g	Woolworths	dip	Woolworths	2.90
Dairy	Cream Cheese	250g	Woolworths	dip	Woolworths	2.50
Dairy	Free Range Eggs Natural Living	12 pck / 700 g	Pace Farm	baking	Woolworths	6.99
Dairy	Full Cream Long Life Milk Lactose Free	1 l	Liddells	breakfast	Woolworths	2.00
Dairy	Full Cream Milk 	1 l	Macro Organic	breakfast	Woolworths	2.30
Dairy	Harris Farm Yoghurt	2 l	Harris Farm	yoghurt&berries	Harris Farm	8.49
Dairy	Milk Organic Unhomogenised	2 l	Harris Farm	breakfast, smoothie	Harris Farm	5.30
Dairy	Natural Tasty Cheese Slices	750 g	Woolworths Select	sandwiches	Woolworths	1.19
Dairy	Organic Butter	250 g	Mainland	baking	Woolworths	5.40
Dairy	Organic Spreadable Butter	250 g	Mainland	breakfast	Woolworths	5.95
Dairy	Ricotta Cheese	375g	Woolworths	swettened ricotta	Woolworths	3.00
Dairy	Shaved Parmesan Cheese	250 g	Milel	pasta	Woolworths	5.00
Dairy	Shredded Mozzarella Cheese	500 g	Woolworths Select	nachos	Woolworths	5.00
Dairy	Shredded Tasty Grated Cheese	600 g	Devondale	pasta, nachos	Woolworths	8.75
Dairy	Shredded Tasty Cheese	500g	Woolworths Select	cheese&crackers	Woolworths	5.00
Dairy	Sour Cream	300 ml	Woolworths	nachos	Woolworths	1.19
Canned/Dry/Baking Goods	Apricot Dried	500 g	Homebrand	Chicken cous cous, Vegan possibility	Woolworths	4.99
